accident_reference,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile,lsoa_of_casualty
131108031,1,1,2,1,26,6,2,0,0,1,0,0,9,-1,-1,-1
131108031,2,2,1,1,34,6,3,0,0,0,0,0,19,1,7,E01011383
201066357,2,1,1,1,18,4,3,0,0,0,0,0,9,1,6,E01009183
201066357,2,2,2,2,20,4,3,0,0,1,0,0,9,1,6,E01009183
221056436,2,1,1,2,51,8,3,0,0,0,0,0,9,1,3,E01014156
122100250,2,1,1,1,33,6,3,0,0,0,0,0,1,3,2,E01010716
10304924,1,1,1,1,29,6,3,0,0,0,0,0,3,1,2,E01002741
10307280,2,1,1,2,48,8,3,0,0,0,0,0,1,1,3,E01002752
622100570,1,1,1,1,47,8,3,0,0,0,0,0,9,3,9,W01001729
31D100121,2,1,1,1,30,6,3,0,0,0,0,0,1,2,10,E01028390
131095390,2,1,1,2,58,9,3,0,0,0,0,0,9,1,6,E01010870
10331973,1,1,1,1,40,7,3,0,0,0,0,0,4,1,4,E01000746
221057068,4,1,1,1,62,9,2,0,0,0,0,0,5,1,10,E01032135
320660705,1,1,2,1,71,10,3,0,0,2,0,0,8,1,5,E01026145
351015316,1,1,1,1,21,5,3,0,0,0,0,0,9,3,4,E01018095
201103479,1,1,3,2,24,5,3,1,1,0,0,2,0,1,1,E01009566
10321129,1,1,1,1,53,8,3,0,0,0,0,0,1,1,4,E01003076
10324170,2,1,1,1,23,5,3,0,0,0,0,0,1,1,1,E01004300
131055144,1,1,1,1,34,6,3,0,0,0,0,0,9,1,1,E01010632
131055144,2,2,1,2,37,7,3,0,0,0,0,0,9,1,7,E01010760
302101070,2,1,1,1,27,6,3,0,0,0,0,0,9,1,6,E01019680
131066306,2,1,3,2,37,7,3,6,7,0,0,2,0,1,1,E01010782
520103948,1,1,1,2,27,6,3,0,0,0,0,0,9,2,8,E01029225
520103948,2,2,1,2,49,8,3,0,0,0,0,0,9,3,9,E01029210
361054528,2,1,1,1,27,6,3,0,0,0,0,0,1,1,9,E01026933
60Z128262,1,1,2,2,75,10,3,0,0,2,0,0,9,-1,-1,-1
31D107521,1,1,1,2,75,10,3,0,0,0,0,0,22,1,3,E01028209
302102055,1,1,3,2,55,8,3,10,9,0,0,0,0,1,6,E01019760
161019379,2,1,1,1,60,9,3,0,0,0,0,0,1,1,8,E01012911
552101177,1,1,3,1,25,5,2,10,9,0,0,0,0,1,2,E01015280
10299139,2,1,1,1,23,5,3,0,0,0,0,0,3,1,5,E01000268
302100413,2,1,1,1,35,6,3,0,0,0,0,0,19,1,4,E01019773
10328339,2,1,1,1,40,7,3,0,0,0,0,0,1,1,3,E01003221
10295897,2,1,1,1,22,5,3,0,0,0,0,0,3,-1,-1,-1
131034385,1,1,1,2,23,5,2,0,0,0,0,0,9,1,1,E01010996
201134917,1,1,3,1,11,3,3,5,2,0,0,0,0,1,3,E01009701
351020331,1,2,2,2,62,9,3,0,0,1,0,0,9,3,9,E01018199
351020331,2,1,2,1,20,4,3,0,0,0,0,0,19,1,2,E01009998
10309357,1,1,3,1,49,8,3,4,9,0,0,0,0,1,2,E01004284
101106830,1,1,1,2,22,5,3,0,0,0,0,0,9,1,2,E01027429
101106830,1,2,3,1,35,6,3,5,1,0,0,0,0,-1,-1,-1
401065648,2,2,1,1,35,6,2,0,0,0,0,0,1,1,3,E01017501
131073263,2,1,1,1,60,9,3,0,0,0,0,0,9,1,2,E01032494
10305102,1,1,1,1,32,6,3,0,0,0,0,0,9,1,5,E01033288
211147728,1,1,1,1,41,7,3,0,0,0,0,0,9,1,2,E01014281
520201003,1,1,1,2,70,10,3,0,0,0,0,0,9,1,9,E01029295
520201003,2,2,1,2,48,8,3,0,0,0,0,0,1,1,10,E01029302
610062021,1,2,2,1,29,6,3,0,0,1,0,0,9,1,2,W01001693
610062021,1,3,2,1,25,5,3,0,0,2,0,0,9,1,2,W01001693
610062021,2,1,1,2,17,4,3,0,0,1,0,0,9,1,1,W01001536
070482033,1,1,2,1,24,5,3,0,0,1,0,0,9,1,10,E01012449
201081061,2,1,1,2,35,6,3,0,0,0,0,0,9,1,3,E01009242
201081061,2,2,2,2,55,8,3,0,0,2,0,0,9,1,3,E01009242
06E078786,2,1,1,2,35,6,3,0,0,0,0,0,9,1,2,E01005200
101173147,1,1,3,1,24,5,3,5,1,0,0,0,0,-1,-1,-1
161020276,1,1,1,1,42,7,3,0,0,0,0,0,9,1,1,E01013162
138390197,1,1,1,1,66,10,3,0,0,0,0,0,9,1,4,E01011320
101026212,1,1,1,1,19,4,3,0,0,0,0,0,9,1,6,E01008869
161108038,2,1,1,1,52,8,2,0,0,0,0,0,1,-1,-1,-1
122100659,1,1,1,1,24,5,3,0,0,0,0,0,9,3,8,E01027643
122100659,1,2,2,1,27,6,2,0,0,1,0,0,9,1,4,E01025194
122100659,1,3,2,1,23,5,2,0,0,2,0,0,9,3,6,E01027734
122100659,1,4,2,1,19,4,2,0,0,2,0,0,9,-1,-1,-1
052102029,2,1,1,2,39,7,3,0,0,0,0,0,90,1,2,E01006523
10287947,2,1,1,1,46,8,3,0,0,0,0,0,1,1,3,E01003017
101078427,1,2,1,1,25,5,1,0,0,0,0,0,9,-1,-1,-1
101078427,1,3,2,1,25,5,2,0,0,2,0,0,9,-1,-1,-1
101078427,1,4,2,1,28,6,1,0,0,1,0,0,9,-1,-1,-1
101078427,2,1,1,2,50,8,2,0,0,0,0,0,9,-1,-1,-1
332100717,1,1,1,2,28,6,3,0,0,0,0,0,9,3,10,E01013793
10316134,1,1,1,1,18,4,3,0,0,0,0,0,1,1,3,E01001162
138311185,2,1,1,2,24,5,3,0,0,0,0,0,9,-1,-1,-1
34WNC2991,2,1,1,2,59,9,3,0,0,0,0,0,9,2,9,E01027301
10332167,1,1,1,1,35,6,2,0,0,0,0,0,9,1,3,E01001697
221115234,2,1,1,2,12,3,3,0,0,0,0,0,1,1,2,E01008942
320003040,1,1,1,1,24,5,3,0,0,0,0,0,2,1,3,E01026124
622100252,2,3,2,2,18,4,3,0,0,1,0,0,9,2,4,W01001013
10313640,2,1,1,1,-1,-1,3,0,0,0,0,0,1,-1,-1,-1
141082800,1,1,1,1,53,8,2,0,0,0,0,0,5,1,9,E01007792
302100538,1,1,1,1,53,8,2,0,0,0,0,0,5,1,4,E01005358
10308174,1,1,1,1,45,7,3,0,0,0,0,0,4,1,8,E01001994
10312708,1,1,1,1,49,8,3,0,0,0,0,0,3,1,2,E01004271
552100572,1,1,1,1,26,6,3,0,0,0,0,0,90,1,3,E01032745
10320674,1,1,3,1,26,6,3,4,1,0,0,0,0,1,5,E01004646
10328971,1,1,3,1,49,8,3,10,9,0,0,0,0,1,5,E01000144
070324314,1,1,1,1,30,6,3,0,0,0,0,0,1,3,5,E01018418
10334103,1,1,3,2,50,8,3,5,1,0,0,0,0,1,2,E01002716
10324356,1,1,1,1,36,7,2,0,0,0,0,0,5,1,2,E01003093
10328660,1,1,2,2,84,11,2,0,0,0,3,0,11,1,7,E01004762
131098831,2,1,1,2,69,10,2,0,0,0,0,0,9,1,10,E01010697
60Z063488,1,1,1,1,18,4,3,0,0,0,0,0,9,-1,-1,-1
60Z063488,1,2,2,2,16,4,2,0,0,1,0,0,9,-1,-1,-1
60Z140118,1,1,1,1,89,11,3,0,0,0,0,0,9,-1,-1,-1
401119763,2,2,1,2,84,11,3,0,0,0,0,0,22,1,2,E01017519
141033837,1,1,2,1,57,9,3,0,0,2,0,0,9,-1,-1,-1
141033837,1,2,2,1,25,5,3,0,0,2,0,0,9,-1,-1,-1
610032721,1,1,1,1,54,8,3,0,0,0,0,0,97,-1,-1,-1
061137824,1,1,2,1,32,6,3,0,0,1,0,0,9,1,1,E01005117
101112002,2,1,2,2,26,6,3,0,0,1,0,0,9,-1,-1,-1
101112002,2,2,1,2,48,8,3,0,0,0,0,0,9,-1,-1,-1
161071253,1,1,1,1,74,10,2,0,0,0,0,0,9,-1,-1,-1
522104474,1,1,1,1,63,9,3,0,0,0,0,0,5,1,3,E01014682
122100411,1,1,2,2,15,3,3,0,0,2,0,0,9,1,4,E01027787
10306217,2,1,1,1,27,6,3,0,0,0,0,0,1,1,7,E01002013
131101933,2,1,2,2,25,5,3,0,0,1,0,0,9,1,3,E01011048
201057805,2,1,1,1,34,6,3,0,0,0,0,0,9,1,6,E01010232
170S31741,1,1,2,2,52,8,3,0,0,1,0,0,9,1,6,E01012049
31A036721,2,1,1,2,47,8,3,0,0,0,0,0,9,1,4,E01028278
141060317,1,1,1,2,47,8,3,0,0,0,0,0,9,1,8,E01007839
34NNC5101,2,1,1,2,57,9,3,0,0,0,0,0,9,2,8,E01026223
60Z070996,1,1,1,1,42,7,3,0,0,0,0,0,1,-1,-1,-1
60Z070996,1,2,3,1,62,9,3,5,1,0,0,0,0,-1,-1,-1
371053310,1,1,1,2,47,8,2,0,0,0,0,0,9,1,9,E01030033
10330268,2,1,1,1,36,7,3,0,0,0,0,0,1,1,9,E01003458
548189721,1,1,1,1,43,7,3,0,0,0,0,0,9,1,10,E01016291
610032621,1,1,1,2,37,7,3,0,0,0,0,0,9,-1,-1,-1
401118148,2,1,1,1,26,6,3,0,0,0,0,0,19,2,6,E01033505
122101274,2,1,1,1,36,7,3,0,0,0,0,0,5,1,9,E01009914
552200254,2,1,1,2,45,7,3,0,0,0,0,0,9,1,9,E01020414
10296193,2,1,1,1,24,5,3,0,0,0,0,0,1,1,2,E01002046
221041762,2,1,1,1,48,8,3,0,0,0,0,0,1,2,6,E01028927
141035631,2,1,1,1,55,8,3,0,0,0,0,0,9,1,2,E01007784
070719811,2,1,1,1,51,8,2,0,0,0,0,0,4,2,9,E01018723
161037968,1,1,1,1,49,8,3,0,0,0,0,0,3,1,1,E01012805
161037968,2,2,1,1,13,3,3,0,0,0,0,0,1,2,7,E01013018
161011305,1,1,2,2,39,7,2,0,0,2,0,0,9,1,1,E01012838
161011305,2,2,1,2,58,9,3,0,0,0,0,0,9,1,10,E01013043
201080728,1,1,1,2,60,9,3,0,0,0,0,0,9,1,4,E01010149
201080728,2,2,1,1,38,7,3,0,0,0,0,0,9,1,1,E01009309
138350876,1,1,1,1,30,6,2,0,0,0,0,0,5,1,1,E01010739
540486321,1,1,2,1,6,2,3,0,0,2,0,0,9,3,8,E01031946
10323493,1,1,1,1,35,6,2,0,0,0,0,0,4,2,5,E01015926
10309302,1,1,1,1,25,5,3,0,0,0,0,0,3,1,3,E01003439
131122414,2,1,1,1,43,7,3,0,0,0,0,0,1,-1,-1,-1
371043578,1,2,1,1,19,4,3,0,0,0,0,0,9,2,6,E01029930
371043578,2,1,1,1,65,9,3,0,0,0,0,0,9,2,5,E01029928
371043578,2,3,2,2,64,9,3,0,0,1,0,0,9,2,5,E01029928
401048348,2,1,1,1,43,7,3,0,0,0,0,0,1,2,10,E01017429
10320104,2,1,1,1,35,6,3,0,0,0,0,0,5,1,2,E01003092
991026397,2,1,1,1,18,4,2,0,0,0,0,0,1,1,8,-1
10305682,1,1,1,2,41,7,3,0,0,0,0,0,9,1,5,E01002371
302100495,2,1,1,2,35,6,3,0,0,0,0,0,9,1,6,E01013491
302100495,2,2,2,1,23,5,3,0,0,1,0,0,9,1,9,E01013559
201059653,2,1,1,2,28,6,3,0,0,0,0,0,9,1,3,E01009049
34WNC0871,2,1,2,2,15,3,3,0,0,1,0,0,9,-1,-1,-1
10288589,1,1,1,1,35,6,3,0,0,0,0,0,1,1,5,E01003144
10311821,1,1,1,2,31,6,3,0,0,0,0,0,3,1,2,E01004679
10314795,1,1,1,2,53,8,3,0,0,0,0,0,9,1,2,E01000221
361130984,1,1,1,1,80,11,3,0,0,0,0,0,9,3,5,E01026774
161107818,2,1,1,1,19,4,3,0,0,0,0,0,1,1,1,E01012900
161096525,1,1,1,2,47,8,3,0,0,0,0,0,9,2,7,E01013248
161096525,1,3,2,2,23,5,3,0,0,1,0,0,9,2,7,E01013248
161096525,2,2,1,1,73,10,3,0,0,0,0,0,9,3,6,E01013247
10321612,1,1,3,1,21,5,3,8,3,0,0,0,0,1,4,E01000155
161096245,3,1,1,1,21,5,3,0,0,0,0,0,3,1,2,E01012821
31A139121,1,1,1,1,29,6,3,0,0,0,0,0,1,1,2,E01028284
302101060,1,1,2,2,49,8,3,0,0,2,0,0,9,1,7,E01002220
10305749,1,1,1,2,26,6,3,0,0,0,0,0,2,1,2,E01002051
401060748,1,1,1,1,86,11,2,0,0,0,0,0,1,1,9,E01017565
10314589,1,1,1,1,36,7,3,0,0,0,0,0,8,1,2,E01002033
141028995,2,1,1,1,9,2,2,0,0,0,0,0,1,1,1,E01007790
201050743,2,1,1,1,27,6,3,0,0,0,0,0,9,1,1,E01033621
351118611,2,2,1,1,-1,-1,2,0,0,0,0,0,9,1,4,E01026705
141027817,1,1,1,1,24,5,3,0,0,0,0,0,1,1,4,E01008115
070257390,1,1,1,2,21,5,3,0,0,0,0,0,9,1,2,E01018546
10332059,2,1,2,2,36,7,3,0,0,2,0,0,9,1,4,E01000307
061125105,1,2,1,1,36,7,3,0,0,0,0,0,9,1,8,E01012499
061125105,2,1,1,2,35,6,3,0,0,0,0,0,9,1,7,E01006245
1383N0918,1,1,1,2,89,11,2,0,0,0,0,0,9,1,9,E01010706
401134436,1,1,1,2,58,9,3,0,0,0,0,0,9,1,2,E01016847
401134436,1,2,3,1,47,8,2,9,8,0,0,0,0,1,10,E01017604
320141495,1,1,1,2,82,11,3,0,0,0,0,0,9,3,6,E01026387
161078360,1,1,1,2,55,8,3,0,0,0,0,0,9,1,4,E01013146
161078360,2,2,1,1,50,8,3,0,0,0,0,0,9,1,10,E01007958
161078360,2,3,2,2,15,3,3,0,0,1,0,0,9,1,10,E01007958
161078360,2,4,2,1,13,3,3,0,0,2,0,0,9,1,10,E01007958
161078360,3,5,2,2,44,7,3,0,0,1,0,0,9,1,1,E01013219
161078360,3,6,2,2,16,4,3,0,0,2,0,0,9,1,1,E01013219
161078360,3,7,2,2,7,2,3,0,0,2,0,0,9,1,1,E01013219
10317516,2,1,1,1,25,5,3,0,0,0,0,0,1,1,1,E01002069
211096630,2,1,1,1,58,9,3,0,0,0,0,0,5,1,10,E01018560
10324200,1,1,1,1,30,6,2,0,0,0,0,0,4,1,6,E01000575
052102604,1,1,3,2,21,5,3,5,1,0,0,0,0,1,-1,-1
10299216,1,1,1,2,26,6,3,0,0,0,0,0,1,1,4,E01003913
411027446,1,1,1,2,18,4,3,0,0,0,0,0,9,2,9,E01023465
101070083,2,1,1,1,36,7,3,0,0,0,0,0,9,1,1,E01008331
10327384,2,1,2,1,30,6,3,0,0,1,0,0,9,1,4,E01001903
544166321,1,1,1,1,28,6,3,0,0,0,0,0,9,1,3,E01031854
10327534,1,1,2,1,16,4,3,0,0,2,0,0,9,1,6,E01002258
201044978,1,1,1,2,23,5,3,0,0,0,0,0,9,2,6,E01028857
201044978,1,2,2,2,24,5,2,0,0,1,0,0,9,1,2,E01010429
131083388,1,1,1,2,43,7,3,0,0,0,0,0,9,1,8,E01011397
371032911,1,1,2,1,25,5,1,0,0,1,0,0,9,1,1,E01033437
371032911,1,2,2,1,25,5,3,0,0,2,0,0,9,1,1,E01033437
371032911,1,3,1,1,25,5,3,0,0,0,0,0,9,1,1,E01033437
332101512,1,1,1,2,26,6,3,0,0,0,0,0,9,-1,-1,-1
10315153,1,1,1,2,63,9,3,0,0,0,0,0,9,1,1,E01000552
371099749,1,1,1,1,21,5,2,0,0,0,0,0,9,2,6,E01026492
371099749,1,2,2,1,20,4,2,0,0,1,0,0,9,-1,-1,-1
549870921,1,1,2,2,10,2,3,0,0,2,0,0,9,3,9,E01017439
170L10021,1,1,3,1,85,11,3,9,9,0,0,0,0,3,3,E01027840
221049939,1,1,3,2,68,10,3,5,3,0,0,0,0,3,5,E01028980
201059588,1,1,3,1,9,2,3,5,1,0,0,2,0,-1,-1,-1
141031533,2,1,1,1,23,5,3,0,0,0,0,0,1,-1,-1,-1
131111124,1,1,3,2,11,3,2,5,4,0,0,2,0,-1,-1,-1
302100379,1,1,1,1,57,9,3,0,0,0,0,0,5,1,2,E01013852
231079755,1,1,1,1,28,6,3,0,0,0,0,0,9,1,3,E01003388
231079755,2,2,1,1,97,11,3,0,0,0,0,0,9,1,7,E01031089
231079755,2,3,2,2,90,11,3,0,0,1,0,0,9,1,7,E01031089
401119349,2,1,1,1,58,9,2,0,0,0,0,0,5,2,5,E01017418
63A089921,1,1,1,1,25,5,3,0,0,0,0,0,9,-1,-1,-1
10325478,1,1,1,1,57,9,3,0,0,0,0,0,11,1,2,E01002669
622100153,1,1,3,1,30,6,2,9,5,0,0,0,0,1,3,W01001321
10309713,1,1,1,1,22,5,3,0,0,0,0,0,3,1,6,E01003698
201101344,2,1,2,1,0,1,3,0,0,2,0,0,9,1,2,E01009661
201101344,2,2,2,1,28,6,3,0,0,2,0,0,9,1,2,E01009661
201101344,2,3,2,1,25,5,3,0,0,2,0,0,9,1,2,E01009661
10321839,2,1,1,1,31,6,3,0,0,0,0,0,1,1,2,E01003049
201085635,2,2,1,1,42,7,2,0,0,0,0,0,1,1,2,E01010406
10298098,2,1,1,1,41,7,3,0,0,0,0,0,1,1,5,E01000994
201111142,1,2,1,2,29,6,3,0,0,0,0,0,9,1,1,E01010084
201111142,2,1,1,1,34,6,3,0,0,0,0,0,9,1,1,E01010080
201111142,2,3,2,1,31,6,3,0,0,1,0,0,9,1,1,E01010080
131037041,1,1,1,1,54,8,2,0,0,0,0,0,1,1,2,E01010889
161128723,1,1,1,2,19,4,3,0,0,0,0,0,9,1,1,E01012783
161128723,2,2,1,1,33,6,3,0,0,0,0,0,9,1,7,E01033106
10293681,2,1,1,1,23,5,3,0,0,0,0,0,1,1,2,E01002054
351111943,1,1,1,-1,-1,-1,3,0,0,0,0,0,97,-1,-1,-1
061117054,2,1,1,1,68,10,3,0,0,0,0,0,9,1,3,E01004878
161117374,2,1,1,1,31,6,3,0,0,0,0,0,1,1,1,E01013139
311057997,1,1,3,1,15,3,2,9,9,0,0,0,0,1,10,E01025714
141033016,2,1,2,1,12,3,3,0,0,0,0,0,1,1,1,E01007529
31C072321,1,1,3,2,13,3,3,10,9,0,0,0,0,1,2,E01013908
522201642,1,1,1,2,21,5,3,0,0,0,0,0,9,1,10,E01014940
522201642,1,2,2,1,31,6,3,0,0,1,0,0,9,1,6,E01014917
31C172421,2,1,1,1,50,8,3,0,0,0,0,0,1,1,5,E01013935
131127022,1,1,1,1,66,10,2,0,0,0,0,0,9,2,9,E01010589
101110720,2,1,1,1,77,11,3,0,0,0,0,0,1,-1,-1,-1
332100991,1,1,1,1,41,7,3,0,0,0,0,0,9,1,1,E01013761
052102432,2,1,1,1,24,5,2,0,0,0,0,0,1,1,10,E01006824
552100484,2,1,1,1,40,7,3,0,0,0,0,0,1,1,8,E01020369
361070211,2,1,1,1,21,5,3,0,0,0,0,0,3,1,1,E01026604
302100603,2,1,1,1,40,7,3,0,0,0,0,0,9,1,4,E01019715
101041287,1,1,1,1,15,3,3,0,0,0,0,0,90,-1,-1,-1
991047623,2,1,2,2,54,8,3,0,0,1,0,0,9,1,1,-1
991047623,2,2,1,1,61,9,3,0,0,0,0,0,9,1,2,-1
10325189,2,1,1,1,49,8,3,0,0,0,0,0,1,1,8,E01003812
991042714,2,1,2,2,28,6,3,0,0,1,0,0,9,2,8,-1
320341230,2,1,1,2,74,10,3,0,0,0,0,0,22,1,2,E01026103
10332637,1,1,1,1,25,5,3,0,0,0,0,0,2,1,6,E01030699
131119163,2,1,1,1,21,5,2,0,0,0,0,0,23,1,1,E01010845
320669483,1,1,1,1,19,4,3,0,0,0,0,0,9,1,3,E01026116
10300868,1,1,1,1,20,4,3,0,0,0,0,0,3,1,5,E01003139
320596489,1,1,1,1,61,9,3,0,0,0,0,0,5,-1,-1,-1
201065226,2,1,1,1,21,5,3,0,0,0,0,0,1,1,1,E01009572
221056197,1,1,1,1,21,5,3,0,0,0,0,0,3,1,2,E01032453
070619733,2,1,1,2,30,6,3,0,0,0,0,0,1,1,6,E01018472
221044080,1,1,3,2,11,3,3,5,1,0,0,0,0,1,7,E01014137
131114045,2,1,1,2,60,9,3,0,0,0,0,0,9,1,1,E01007318
201149137,1,1,1,2,-1,-1,3,0,0,0,0,0,9,1,1,E01009328
122100578,1,1,1,1,32,6,3,0,0,0,0,0,9,1,7,E01027707
122100578,1,2,2,2,32,6,3,0,0,1,0,0,9,1,7,E01027707
161125190,2,1,1,1,39,7,3,0,0,0,0,0,3,1,1,E01012880
070278431,2,1,1,2,25,5,3,0,0,0,0,0,9,1,3,E01018543
070317702,1,1,1,1,17,4,3,0,0,0,0,0,1,1,6,E01018496
549387721,1,1,3,2,6,2,3,5,3,0,0,0,0,1,9,E01015483
546853921,2,1,1,2,62,9,3,0,0,0,0,0,9,1,8,E01015536
545027421,3,2,2,1,86,11,3,0,0,1,0,0,9,1,3,E01000622
545027421,4,1,1,1,51,8,3,0,0,0,0,0,9,1,4,E01015804
371115159,1,1,1,2,31,6,2,0,0,0,0,0,9,1,4,E01030270
231035013,2,1,1,1,42,7,3,0,0,0,0,0,1,3,9,E01033251
131081810,1,1,1,1,19,4,2,0,0,0,0,0,3,1,1,E01010819
101024664,2,1,1,2,21,5,3,0,0,0,0,0,9,1,3,E01027430
10299433,1,1,1,1,34,6,3,0,0,0,0,0,9,1,7,E01003371
10316309,1,1,1,2,49,8,3,0,0,0,0,0,9,1,3,E01001669
610023121,2,1,2,1,44,7,3,0,0,1,0,0,9,-1,-1,-1
131091474,1,1,3,1,46,8,3,6,9,0,0,2,0,1,8,E01010645
10318319,1,1,1,1,23,5,2,0,0,0,0,0,3,1,2,E01003111
201068073,2,1,1,1,40,7,3,0,0,0,0,0,1,1,1,E01010053
991029992,2,1,1,2,65,9,2,0,0,0,0,0,1,1,7,-1
10294147,1,1,1,1,61,9,3,0,0,0,0,0,1,1,10,E01002434
201134384,1,1,3,2,11,3,3,6,9,0,0,0,0,1,10,E01009436
31C166221,1,1,1,1,19,4,2,0,0,0,0,0,90,1,5,E01028161
10325972,1,1,3,2,89,11,2,1,1,0,0,0,0,1,4,E01001873
63A058721,1,1,3,1,6,2,3,5,1,0,0,0,0,-1,-1,-1
522103579,1,1,1,2,22,5,3,0,0,0,0,0,9,1,10,E01032763
10288541,1,1,1,1,30,6,3,0,0,0,0,0,5,1,2,E01003832
31C087021,2,1,1,1,17,4,3,0,0,0,0,0,90,1,6,E01013978
522104637,1,1,3,1,43,7,3,9,9,0,0,0,0,2,5,E01014746
10292918,1,1,1,2,43,7,3,0,0,0,0,0,8,1,4,E01017074
10292918,1,2,2,-1,-1,-1,3,0,0,2,0,0,8,1,6,E01017292
10292918,1,3,2,-1,-1,-1,3,0,0,2,0,0,8,1,6,E01017292
131070299,1,1,3,1,12,3,2,5,1,0,0,2,0,-1,-1,-1
111115631,1,1,3,2,23,5,3,4,1,0,0,0,0,1,2,E01020722
361060315,3,1,1,1,27,6,3,0,0,0,0,0,9,3,4,E01030295
10287511,1,1,1,1,50,8,3,0,0,0,0,0,8,1,1,E01004250
10319476,1,1,3,2,24,5,3,1,1,0,0,0,0,1,3,E01001752
10319119,2,1,1,1,23,5,2,0,0,0,0,0,1,1,4,E01003573
052102478,2,1,1,2,41,7,3,0,0,0,0,0,9,1,8,E01006684
052102478,2,2,2,2,35,6,3,0,0,1,0,0,9,1,7,E01006577
31D139021,1,1,3,1,13,3,3,5,1,0,0,0,0,1,6,E01028205
201146452,2,2,1,1,41,7,3,0,0,0,0,0,9,1,1,E01009513
10296660,2,1,1,1,33,6,3,0,0,0,0,0,2,-1,-1,-1
101040205,1,1,1,2,36,7,3,0,0,0,0,0,9,1,8,E01027438
101040205,3,2,1,2,49,8,3,0,0,0,0,0,9,1,8,E01027440
351060006,2,1,1,1,35,6,3,0,0,0,0,0,9,1,4,E01018100
522101464,1,1,3,2,13,3,3,5,1,0,0,0,0,2,9,E01014859
131104505,1,1,3,2,21,5,3,10,1,0,0,2,0,-1,-1,-1
10322713,1,1,1,1,18,4,2,0,0,0,0,0,9,1,8,E01002289
542975521,2,1,1,1,63,9,3,0,0,0,0,0,9,1,8,E01015534
161051885,1,1,1,1,16,4,2,0,0,0,0,0,1,1,4,E01013106
522102178,1,1,1,1,40,7,3,0,0,0,0,0,9,1,8,E01015549
351079156,1,1,1,2,29,6,3,0,0,0,0,0,9,2,10,E01018216
351079156,1,2,2,1,42,7,3,0,0,-1,0,0,9,2,10,E01018216
351079156,1,3,2,2,11,3,3,0,0,2,0,0,9,2,5,E01018195
351079156,1,4,2,1,6,2,3,0,0,2,0,0,9,2,10,E01018216
351079156,1,5,2,1,4,1,3,0,0,2,0,0,9,2,10,E01018216
201110597,1,1,3,2,11,3,3,5,4,0,0,0,0,1,1,E01009637
622100819,1,1,1,1,18,4,2,0,0,0,0,0,4,1,10,W01000868
622100819,2,2,1,2,19,4,3,0,0,0,0,0,9,1,10,W01000791
622100819,2,3,2,1,22,5,3,0,0,1,0,0,9,1,5,W01000763
401108336,1,1,3,1,92,11,2,1,1,0,0,0,0,-1,-1,-1
10325176,1,1,1,2,39,7,3,0,0,0,0,0,9,1,6,E01032653
10325176,2,2,1,1,30,6,3,0,0,0,0,0,9,1,7,E01004545
10325176,2,3,2,2,30,6,3,0,0,2,0,0,9,1,7,E01004545
10325176,2,4,2,2,45,7,3,0,0,2,0,0,9,1,2,E01003124
10325176,2,5,2,1,6,2,3,0,0,2,0,0,9,1,7,E01004545
10325176,2,6,2,1,4,1,3,0,0,2,0,0,9,1,7,E01004545
10325176,2,7,2,2,70,10,3,0,0,1,0,0,9,1,2,E01003121
10325176,2,8,2,2,7,2,3,0,0,2,0,0,9,1,7,E01004545
10319897,2,1,1,1,27,6,2,0,0,0,0,0,1,1,2,E01001588
061074009,2,1,1,2,65,9,3,0,0,0,0,0,9,1,5,E01005025
061074009,2,3,2,1,68,10,3,0,0,1,0,0,9,1,5,E01005025
061074009,3,2,1,2,37,7,3,0,0,0,0,0,9,1,8,E01005336
061074009,3,4,2,1,13,3,3,0,0,2,0,0,9,1,8,E01005336
531070005,1,1,1,1,12,3,3,0,0,0,0,0,1,1,8,E01022452
10317517,2,1,1,1,18,4,2,0,0,0,0,0,3,1,4,E01002970
10308883,1,1,1,1,19,4,3,0,0,0,0,0,9,1,6,E01000624
320456693,1,1,1,1,28,6,3,0,0,0,0,0,2,3,7,E01026014
052102897,2,1,1,1,18,4,2,0,0,0,0,0,4,1,1,E01007122
101035191,2,1,1,2,45,7,3,0,0,0,0,0,9,1,3,E01008506
061059182,1,1,1,1,48,8,3,0,0,0,0,0,1,1,8,E01005417
161026891,2,1,1,1,-1,-1,3,0,0,0,0,0,97,-1,-1,-1
122100199,1,1,1,1,52,8,3,0,0,0,0,0,4,2,9,E01013061
201053014,1,1,3,1,-1,-1,3,5,3,0,0,2,0,-1,-1,-1
061078614,1,1,3,1,31,6,3,10,9,0,0,0,0,1,3,E01004992
061078614,1,2,3,1,3,1,3,10,9,0,0,2,0,1,3,E01004992
351047105,1,1,1,1,43,7,2,0,0,0,0,0,9,2,6,E01018106
122100456,1,1,1,1,30,6,3,0,0,0,0,0,1,1,10,E01013378
161098028,1,1,3,1,43,7,3,4,1,0,0,0,0,1,1,E01012851
061055091,2,1,1,1,42,7,3,0,0,0,0,0,9,1,1,E01005350
31D002121,1,1,1,1,60,9,3,0,0,0,0,0,11,1,2,E01013886
401039760,1,1,1,1,25,5,3,0,0,0,0,0,9,1,5,E01015746
